month,key,id,entity,shipper_price,distance,pickup_date,pickup_lat,pickup_lng,dropoff_lat,dropoff_lng,number_of_addresses,median_duration_days
"January 1, 2026",shp915050c8607051ec,2549818,WARAQ,"3,200","1,375.96","January 15, 2026, 8:00 AM",26.25,49.97,21.11,39.33,2,3
"November 1, 2025",shp920d7ed4350e8f0f,6949446,Maersk,"2,900","1,391.05","November 8, 2025, 10:30 PM",27.01,49.6,21.48,39.17,2,3
"January 1, 2026",shp2b9c96d9f6e1a6ef,2380437,SAVOLA - Afia,"2,200","1,342.24","January 15, 2026, 8:00 AM",21.43,39.23,26.42,50.09,2,3
"November 1, 2025",shp2c25fff710c71b7f,2670759,Maersk Hub,800,171.08,"November 23, 2025, 10:30 PM",21.3,39.15,22.53,39.12,2,1
"November 1, 2025",shp2d1c1f466b6a1942,7941967,SABIC - Maersk Arabia,"2,000","1,038.17","November 3, 2025, 1:00 PM",23.99,38.26,24.71,46.68,2,3
"November 1, 2025",shp2d5453edd7a384ad,4306283,Ma'aden,"1,625",473.01,"November 23, 2025, 1:30 PM",26.97,49.63,24.54,46.88,2,1
"November 1, 2025",shp302da2e7b6315205,1846559,Yaqout Ceramic Co LTD,"1,800","1,436.62","November 5, 2025, 6:00 PM",23.99,38.27,26.42,50.09,2,3
"December 1, 2025",shpbb6873559afa7fc7,2553250,AJEX,"2,800",1.45,"December 8, 2025, 7:00 AM",26.42,50.19,22.48,39.14,2,2
"January 1, 2026",shp30550e018eb79f24,8761334,SAVOLA - Afia,"2,200","1,342.24","January 15, 2026, 8:00 AM",21.43,39.23,26.42,50.09,2,3
"November 1, 2025",shp309716130728e756,1965316,Maersk,"2,900","1,391.05","November 21, 2025, 8:00 AM",27.01,49.6,21.48,39.17,2,3
"January 1, 2026",shp30a61044aa5a5120,1275470,SAVOLA - Afia,"2,200","1,342.24","January 15, 2026, 8:00 AM",21.43,39.23,26.42,50.09,2,3
"November 1, 2025",shp30f53d310294ef95,3100580,Maersk,"2,900","1,391.05","November 6, 2025, 10:30 PM",27.01,49.6,21.48,39.17,2,3
"January 1, 2026",shp312e9a77fa8c092,3712159,Solb Steel,"2,959","1,173.09","January 14, 2026, 8:00 AM",17.3,42.35,24.72,46.16,2,3
"January 1, 2026",shp31f3f3f81cd20033,6193408,Solb Steel,"2,959","1,173.09","January 15, 2026, 8:00 AM",17.3,42.35,24.72,46.16,2,3
"January 1, 2026",shp323e7834e789b6d6,1881154,Unilever - Maersk Arabia,"1,700",966.07,"January 15, 2026, 8:00 AM",21.48,39.17,24.62,46.86,2,2
"November 1, 2025",shp33aa87436372c726,6267545,Demas United Trading Company,"5,000","3,357.76","November 9, 2025, 1:00 PM",26.44,50.19,26.44,50.19,3,7
"November 1, 2025",shp3425dbd0857054be,7527886,Maersk,"2,900","1,391.05","November 25, 2025, 1:00 PM",27.01,49.6,21.48,39.17,2,3
"January 1, 2026",shp386569270bb0a0bc,3067074,SAVOLA - Afia,"1,790",940.36,"January 15, 2026, 8:00 AM",21.43,39.23,24.71,46.68,2,2
"November 1, 2025",shp92ea310e15ad19af,4772877,Worldwide Logistics Services WLS,"2,450","1,808.47","November 19, 2025, 4:00 PM",21.26,39.19,26.43,50.18,3,3
"July 1, 2025",shp3afa16a4970cdeb5,6335028,Barha - Nawaz,"2,900","1,378.55","July 24, 2025, 5:00 PM",26.25,49.96,21.67,39.16,2,2
"November 1, 2025",shp3b559cd28c8b2cf9,6090581,Ma'aden,"1,900",569.63,"November 14, 2025, 8:00 AM",26.97,49.63,23.91,47.28,2,2
"November 1, 2025",shp932a5f57d64dc03c,6062370,SABIC - Maersk Arabia,"2,000","1,038.17","November 3, 2025, 1:00 PM",23.99,38.26,24.71,46.68,2,3
"January 1, 2026",shp3d152a9314bf27b,4002646,SAVOLA - Afia,"2,200","1,342.24","January 15, 2026, 8:00 AM",21.43,39.23,26.42,50.09,2,3
"January 1, 2026",shp3d82dad6e07b9f55,6775647,AJEX,"2,800","1,450.75","January 15, 2026, 8:00 AM",26.42,50.19,22.48,39.14,2,2
"November 1, 2025",shp3e2b3466c6fe504c,4190998,SABIC - Maersk Arabia,"2,000","1,040.86","November 4, 2025, 7:00 PM",23.98,38.24,24.71,46.68,2,3
"November 1, 2025",shp3e8ae293569ee05c,8656147,SABIC - Maersk Arabia,"2,000","1,038.17","November 4, 2025, 1:00 PM",23.99,38.26,24.71,46.68,2,3
"November 1, 2025",shp44e1148d76794145,4549849,Fujian (Cash) - Nadeem,"1,500","1,080.85","November 12, 2025, 2:00 PM",23.98,38.29,24.72,46.16,2,2
"November 1, 2025",shp45d60cfdebd4014c,5640581,Al Barrak Logistics,"1,100",0,"November 15, 2025, 6:00 PM",22.77,39.07,22.77,39.07,3,1
"November 1, 2025",shp486854a68dddc9e3,5620144,Maersk - Jeddah,"1,221",162.89,"November 12, 2025, 5:00 PM",21.26,39.2,21.28,39.19,3,2
"November 1, 2025",shp48ce0c48ed35e9df,3254599,WANG KANG CERAMICS,"1,800","1,443.89","November 27, 2025, 6:00 PM",24,38.27,26.5,49.97,2,3
"November 1, 2025",shp4a4337c245bc4f26,8650448,Maersk,"2,900","1,391.05","November 15, 2025, 10:30 PM",27.01,49.6,21.48,39.17,2,3
"November 1, 2025",shp4cb45bc66ba30e50,3853231,SABIC - Maersk Arabia,"2,000","1,145.49","November 3, 2025, 1:00 PM",23.99,38.22,24.15,47.34,2,3
"November 1, 2025",shp4e09a863a4985645,3699707,Maersk,"2,900","1,391.05","November 25, 2025, 1:00 PM",27.01,49.6,21.48,39.17,2,3
"November 1, 2025",shp944877b1a509fd15,1701626,هضاب الخليج HKC,"1,450","1,079.52","November 12, 2025, 3:00 PM",24.04,38.22,24.56,46.87,2,2
"November 1, 2025",shp4f8b0083d299a495,3287395,Binzagr Logistics Company,"1,895",971.83,"November 28, 2025, 8:00 AM",21.11,39.25,24.57,46.83,2,2
"January 1, 2026",shp51522eae04d0cf34,4809019,Solb Steel,"2,959","1,173.09","January 15, 2026, 8:00 AM",17.3,42.35,24.72,46.16,2,3
"November 1, 2025",shpce314774a7981177,7129510,Binzagr Logistics Company,"2,095","1,356.63","November 2, 2025, 12:00 PM",21.43,39.22,26.41,50.17,2,3
"January 1, 2026",shp5891b3ff48000629,7961978,SAVOLA - Afia,"1,790",940.36,"January 15, 2026, 8:00 AM",21.43,39.23,24.71,46.68,2,2
"November 1, 2025",shp5a4cc57a4aee2a1,4275427,Maersk,"2,900","1,391.05","November 25, 2025, 1:00 PM",27.01,49.6,21.48,39.17,2,3
"November 1, 2025",shp5bb9de0b4ef425f6,4458778,Binzagr Logistics Company,"2,800","1,387.68","November 12, 2025, 12:30 PM",25.93,49.95,21.44,39.34,2,3
"November 1, 2025",shp5cb1c6251a9b2a87,3323480,WANG KANG CERAMICS,"1,800","1,444.39","November 10, 2025, 2:00 PM",24,38.27,26.5,49.96,2,3
"January 1, 2026",shp5d955c8587a05248,2901093,SAVOLA - Afia,"2,200","1,342.24","January 15, 2026, 8:00 AM",21.43,39.23,26.42,50.09,2,3
"November 1, 2025",shp5e2038a7dd4f34c2,9716899,SABIC - Maersk Arabia,"2,000","1,043.42","November 6, 2025, 1:00 PM",23.99,38.22,24.71,46.68,2,3
"November 1, 2025",shp5eb41ec3d899001d,6902502,Sahl Al Madar,"1,750",966.27,"November 24, 2025, 10:30 PM",21.46,39.17,24.56,46.89,2,3
"November 1, 2025",shp607d8035edf36c1,1225283,Yaqout Ceramic Co LTD,"1,650","1,062.63","November 10, 2025, 2:00 PM",23.99,38.27,24.6,46.77,2,2
"November 1, 2025",shp6631340771930030,6956585,Energize Logistics,"1,700",702.97,"November 17, 2025, 10:00 PM",22.75,39.08,19.98,42.59,2,3
"November 1, 2025",shp66b8176bcab59b94,5551858,Maersk,"2,900","1,391.05","November 20, 2025, 10:30 PM",27.01,49.6,21.48,39.17,2,3
"December 1, 2025",shp6743f8df9780edd6,4437458,AJEX,"2,800",1.45,"December 8, 2025, 7:00 AM",26.42,50.19,22.48,39.14,2,2
"January 1, 2026",shp69132b85cb7a4d3b,8957353,Sahl Al Madar,950,408.93,"January 15, 2026, 8:00 AM",24.71,46.68,26.42,50.09,2,1
"November 1, 2025",shp6cd7c2d0ab61aa4c,4322232,Al Bassami - Sugar,"1,900",852.92,"November 24, 2025, 10:30 PM",24.66,46.84,24.47,39.6,2,2.5
"January 1, 2026",shp6d3507f515cc7ee0,7806136,WANG KANG CERAMICS,"1,600","1,070.7","January 15, 2026, 8:00 AM",24,38.27,24.55,46.82,2,2
"November 1, 2025",shp712346733b3e2811,4080223,Mansour Al Mousaad,"1,300",701.55,"November 4, 2025, 1:00 PM",21.28,39.19,21.28,39.19,3,2
"January 1, 2026",shp7458d5f4d94025e9,7538396,AJEX,"3,900","1,141.82","January 4, 2026, 8:00 AM",24.24,47.38,17.66,42.08,2,3
"November 1, 2025",shp75995ca06ad4f127,2614773,هضاب الخليج HKC,"1,450","1,079.52","November 12, 2025, 3:00 PM",24.04,38.22,24.56,46.87,2,2
"January 1, 2026",shp76d984c88ad4500f,5721900,AJEX,"2,800","1,450.75","January 15, 2026, 8:00 AM",26.42,50.19,22.48,39.14,2,2
"November 1, 2025",shp776d7c201700a690,1514730,Yaqout Ceramic Co LTD,"1,800","1,436.62","November 18, 2025, 1:00 PM",23.99,38.27,26.42,50.09,2,3
"November 1, 2025",shp79bfcf0e1795bd4d,7770277,Advance Pipe,"4,050","1,714.79","November 6, 2025, 11:00 AM",26.28,49.97,26.74,36.11,2,2.5
"January 1, 2026",shp7a1c60ce74fc2f28,4352246,SAVOLA - Afia,"2,200","1,342.24","January 15, 2026, 8:00 AM",21.43,39.23,26.42,50.09,2,3
"November 1, 2025",shp7afdf425936daa98,3177771,Maersk,"2,900","1,391.05","November 22, 2025, 10:30 PM",27.01,49.6,21.48,39.17,2,3
"January 1, 2026",shp9790ad66b597e623,3229803,Sahl Al Madar,950,408.93,"January 15, 2026, 8:00 AM",24.71,46.68,26.42,50.09,2,1
"November 1, 2025",shp980023e23b17a67,6233139,Binzagr Logistics Company,"2,800","1,387.68","November 12, 2025, 12:30 PM",25.93,49.95,21.44,39.34,2,3
"January 1, 2026",shp997428135d23ae1c,6054142,Saudi Demo,100,772.7,"January 15, 2026, 8:00 AM",21.69,39.11,26.65,36.22,2,2
"November 1, 2025",shp9c0c5776603a5c9,2967916,هضاب الخليج HKC,"1,450","1,079.52","November 29, 2025, 5:00 PM",24.04,38.22,24.56,46.87,2,2
"November 1, 2025",shp9e41529ed0fbdae,5583786,Maersk,"2,900","1,391.05","November 6, 2025, 10:30 PM",27.01,49.6,21.48,39.17,2,3
"November 1, 2025",shp9f5f4879dc1e2395,2325694,Sahl Al Madar,"1,750",966.27,"November 23, 2025, 11:00 AM",21.46,39.17,24.56,46.89,2,3
"November 1, 2025",shpa2a8a09dac8f4395,4851519,Ma'aden,"1,900",569.63,"November 14, 2025, 8:00 AM",26.97,49.63,23.91,47.28,2,2
"November 1, 2025",shpa4245d738dc35a38,6485546,Binzagr Logistics Company,"2,800","1,387.68","November 25, 2025, 11:30 AM",25.93,49.95,21.44,39.34,2,3
"January 1, 2026",shpa44d300c9660b58c,7893417,WANG KANG CERAMICS,"1,600","1,070.7","January 15, 2026, 8:00 AM",24,38.27,24.55,46.82,2,2
"November 1, 2025",shpa45f1245e970414,1632155,THABAT CONSTRACTION COMPANY LTD,"1,175",376.97,"November 19, 2025, 8:00 AM",24.5,39.71,21.9,39.27,2,1
"January 1, 2026",shpa90b03d060876a2f,1302348,SAVOLA - Afia,"2,200","1,342.24","January 15, 2026, 8:00 AM",21.43,39.23,26.42,50.09,2,3
"January 1, 2026",shpaf818e6da22ab37f,1048275,Advance Pipe,"3,940","1,706.12","January 15, 2026, 8:00 AM",26.28,49.96,26.74,36.11,2,2.5
"January 1, 2026",shpb1452e6ae567a64c,5445674,Solb Steel,"2,959","1,173.09","January 15, 2026, 8:00 AM",17.3,42.35,24.72,46.16,2,3
"November 1, 2025",shpb24d90cc6663e859,7355793,Maersk Hub,800,171.08,"November 23, 2025, 10:30 PM",21.3,39.15,22.53,39.12,2,1
"January 1, 2026",shpb34f6ae1f3388d0c,3664474,Advance Pipe,"3,940","1,706.12","January 15, 2026, 8:00 AM",26.28,49.96,26.74,36.11,2,2.5
"January 1, 2026",shpb3b252f1651c5a8a,4744328,Solb Steel,"2,959","1,173.09","January 15, 2026, 8:00 AM",17.3,42.35,24.72,46.16,2,3
"November 1, 2025",shpb4a937e2945a7514,5766775,Maersk,"2,900","1,391.05","November 14, 2025, 10:30 PM",27.01,49.6,21.48,39.17,2,3
"December 1, 2025",shpb6776b8afb0bd393,7095932,AJEX,"2,800","1,450.75","December 15, 2025, 7:00 AM",26.42,50.19,22.48,39.14,2,2
"November 1, 2025",shpb68101c20958068e,1304801,THABAT CONSTRACTION COMPANY LTD,"1,800",851.08,"November 1, 2025, 5:00 AM",24.5,39.71,24.95,46.84,2,2
"January 1, 2026",shpb6efdfd720a75230,8176391,Solb Steel,"2,959","1,173.09","January 15, 2026, 8:00 AM",17.3,42.35,24.72,46.16,2,3
"December 1, 2025",shpb76687ddead67376,8584340,AJEX,"2,800","1,450.75","December 9, 2025, 7:00 AM",26.42,50.19,22.48,39.14,2,2
"November 1, 2025",shpb99770cf260d4b8f,3817135,Maersk,"2,900","1,391.05","November 10, 2025, 10:30 PM",27.01,49.6,21.48,39.17,2,3
"January 1, 2026",shpba3cfaafba248630,8099611,WANG KANG CERAMICS,"1,600","1,070.7","January 15, 2026, 8:00 AM",24,38.27,24.55,46.82,2,2
"January 1, 2026",shpbb58a7b691b8748d,2663793,AJEX,"3,900","1,142.24","January 5, 2026, 8:00 AM",24.24,47.38,17.66,42.08,2,3
